category,topic
Animals,Dogs are superior to cats
Animals,We should be allowed to bring pets to class
Food,Cereal is a soup
Food,Coke is better then Pepsi
Food,People should stop eating meat
Food,Pineapple belongs on pizza
Food,Hotdogs are sandwiches
Food,Tomatoes are a fruit, not a vegetable
School,School uniforms should be mandatory
School,Young people should have curfews
School,Peer pressure is a good thing
Entertainment,The Purge would be helpful for our society
Entertainment,Thanos was right
Entertainment,Explicit lyrics should be censored on the radio
Entertainment,Books are better than movies
Entertainment,Ross and Rachel were on a break
Sports,The Cowboys are "America's Team"
Sports,College athletes should get paid
Ethics,Honesty is the best policy
Ethics,The power of science is dangerous
Ethics,It is always best to use nonviolent methods to achieve greater civil rights
Ethics,Violence is always necessary to settle disputes
Ethics,Political correctness is progress
Misc,Cell phones are dangerous
Misc,We should be allowed to use phones in class
Misc,We should use time travel if it is invented
Misc,Water is wet